Niveau;Vocabulaire;Signification;Lecture
N3;議論;débat, discussion;ぎろん
N2;気を付ける;faire attention;きをつける
N3;金;or (métal);きん
N3;銀;argent (métal);ぎん
N3;禁煙;interdiction de fumer, défense de fumer;きんえん
N2;禁煙する;arrêter de fumer;きんえんする
N3;金額;montant d'argent;きんがく
N2;金魚;poisson rouge;きんぎょ
N3;金庫;coffre-fort, chambre forte;きんこ
N5;銀行;banque;ぎんこう
N3;禁止;interdiction, prohibition;きんし
N4;近所;voisinage, environs;きんじょ
N3;金銭;argent, espèces;きんせん
N3;金属;métal;きんぞく
N3;近代;de nos jours, à notre époque;きんだい
N3;緊張;stress, tension, nervosité;きんちょう
N3;筊肉;muscle, tendon;きんにく
N3;金融;finance (en général), crédit, flux monétaire;きんゆう
N3;金曜・金;vendredi;きんよう・きん
N5;金曜日;vendredi;きんようび
N3;句;phrase, paragraphe, section, passage, vers;く
N2;区;arrondissement, district;く
N4;具吅;condition, état;ぐあい
N2;区域;domaine, secteur;くいき
N3;食う [五段];"manger (vulgaire), vivre, piquer (comme un insecte),
taquiner, consommer (du temps ou des ressources)";くう
N2;空;ciel, atmosphère;くう
N4;空気;air, atmosphère;くうき
N4;空港;aéroport;くうこう
N2;偶数;nombre pair;ぐうすう
N3;偶然;par hasard, accidentellement;ぐうぜん
N2;偶然;hasard, chance, fortuitement;ぐうぜん
N2;空想;rêverie, vision, fantasme, imagination;くうそう
N2;空中;air, ciel;くうちゅう
N2;;air conditionné, climatiseur;クーラー
N2;釘;clou;くぎ
N2;区切る [五段];délimiter, fractionner, démarquer, ponctuer;くぎる
N4;草;herbe;くさ
N3;臭い;puant, malodorant, suspect, douteux;くさい
N3;鎖;chaîne (en métal);くさり
N3;腐る [五段];pourrir, devenir mauvais, rouiller;くさる
N2;櫛;peigne;くし
N2;嚏;éternuement;くしゃみ
N2;苦情;plainte, réclamation;くじょう
N2;苦心;douleur, trouble, anxiété, effort;くしん
N2;屑;déchet, détritus;くず
N2;崩す [五段];détruire, abattre, faire le change (de monnaie);くずす
N5;薬;médicament;くすり
N2;薬指;annulaire;くすりゆび
N2;崩れる [一段];s'effondrer, s'écrouler, se dégrader;くずれる
N3;癖;mauvaise habitude, défaut;くせ
N2;管;tube, tuyaux;くだ・かん
N3;具体;concret, tangible;ぐたい
N2;砕く [五段];briser, fracasser;くだく
N2;砕ける [一段];se briser, se fracasser;くだける
N4;下さる [五段];donner, confier;くださる
N2;草臥れる [一段];s'épuiser, se fatiguer;くたびれる
N5;果物;fruit;くだもの
N2;下らない;stupide, bon à rien, inutile, sans intérêt;くだらない
N3;下り;train qui s'éloigne de Tôkyô;くだり
N2;下る [五段];descendre, aller en descendant, se rendre, capituler;くだる
N5;口;bouche, ouverture;くち
N2;口;compteur pour les gorgées;くち
N2;唇;lèvres;くちびる
N2;口紅;rouge à lèvres;くちべに
N5;靴;chaussures;くつ
N3;苦痛;douleur, souffrance;くつう
N5;靴下;chaussettes;くつした
N3;;à poings fermés (dormir), profondément (en parlant du sommeil);ぐっすり
N2;くっ付く [五段];adhérer à, coller à, rester proche de;くっつく
N2;くっ付ける [一段];coller, fixer, adhérer;くっつける
N2;諄い;redondant, verbeux, répétitif, tape-à-l'œil, bruyant;くどい
N2;句読点;signe de ponctuation;くとうてん
N5;国;pays, région, province;くに
N2;配る [五段];distribuer, livrer;くばる
N4;首;cou;くび
N2;工夫;dessein, moyen, projet;くふう
N2;区分;"segmentation, classification, division, voie de
circulation";くぶん
N3;区別;distinction, différentiation, classification;くべつ
N3;組;classe (d'élèves), groupe (de personnes), équipe;くみ
N3;組吅;syndicat, association;くみあい
N2;組み吅わせ;combinaison;くみあわせ
N2;組み立てる [一段];assembler, construire;くみたてる
N3;組む [五段];"réunir, assembler, unir, produire (une émission, une
série…)";くむ
N2;汲む [五段];"puiser (de l'eau), pomper (un liquide), boire (de
l'alcool), sympathiser avec";くむ
N2;酌む [五段];servir de l'alcool;くむ
N4;雲;nuage;くも
N5;曇り;nuageux;くもり
N2;曇る [五段];"s'assombrir, se couvrir (en parlant du temps),
devenir nuageux";くもる
N2;悔しい;vexant, contrariant, regrettable, humiliant;くやしい
N2;悔やむ [五段];"faire ses condoléances, regretter, se lamenter sur, se
repentir";くやむ
N5;暗い;sombre;くらい
N3;位;grade, rang, niveau;くらい
N5;;environ;くらい・ぐらい
N3;暮らし;subsistance, vie;くらし
N5;;classe;クラス
N3;暮らす [五段];vivre, passer du temps;くらす
N3;;verre, herbe;グラス
N3;;classique;クラッシック
N4;比べる [一段];comparer;くらべる
N5;;gramme;グラム
N3;;glande, sol;グランド
N2;;nettoyage, entretien;クリーニング
N3;;crème;クリーム
N3;繰り返す [五段];répéter, refaire;くりかえす
N3;;Noël;クリスマス
N5;来る [五段]s;arriver, venir;くる
N3;狂う [五段];devenir fou, se détraquer, aller de travers;くるう
N3;;groupe;グループ
N3;苦しい;douloureux, pénible;くるしい
N3;苦しむ [五段];souffrir, gémir, être inquiet;くるしむ
N2;苦しめる [一段];tourmenter, faire souffrir, harceler;くるしめる
N5;車;voiture, automobile;くるま
N4;包む [五段];envelopper, emballer, empaqueter;くるむ
N3;暮れ;coucher du soleil, crépuscule, fin de l'année;くれ
N2;呉れ呉れも;plusieurs fois, à plusieurs fois, sincèrement;くれぐれも
N4;呉れる [一段];donner;くれる
N4;暮れる [一段];s'assombrir, se coucher (pour le soleil), se terminer;くれる
N5;黒;noir (le);くろ
N5;黒い;noir;くろい
N3;苦労;problèmes, ennuis, difficultés, soucis, tracas;くろう
N3;加える [一段];additionner, ajouter, augmenter, rajouter;くわえる
N2;咥える [一段];"tenir quelque chose dans sa bouche (une cigarette,
une pipe…)";くわえる
N3;詳しい;détaillé, précis, exact;くわしい
N3;加わる [五段];s'ajouter, rejoindre, augmenter;くわわる
N3;訓;lecture japonaise des kanjis;くん
N3;軍;armée, troupes;ぐん
N2;郡;arrondissement, district;ぐん
N3;軍隊;armée, troupes, forces militaires;ぐんたい
N3;訓練;entraînement, exercice;くんれん
N4;毛;cheveux, poil, laine;け
N2;家;maison, famille;け
N3;下;"manque de hauteur, infériorité, dernier tome d'un
ensemble de 2 ou 3";げ
N2;計;plan, projet;けい
N2;形;forme, temps (grammatical);けい
N3;敬意;respect, honneur, déférence;けいい
N3;経営;gestion, administration;けいえい
N4;計画;projet, plan;けいかく
N4;警官;policier;けいかん
N3;景気;"situation (commerciale ou des affaires), activité (du
marché)";けいき
N4;経験;expérience;けいけん
N2;稽古;entraînement, exercice, étude;けいこ
N2;敬語;terme de respect, langage de politesse;けいご
N3;傾向;tendance, mode, penchant;けいこう
N2;蛍光灯;lampe fluorescente;けいこうとう
N3;警告;avertissement, mise en garde;けいこく
N4;経済;économie (en général);けいざい
N4;警察;police;けいさつ
N3;計算;calcul;けいさん
N3;刑事;affaire criminelle, détective;けいじ
N3;掲示;affichage, annonce, pancarte, affiche;けいじ
N2;形式;forme, apparence, formalité, style, système,;けいしき
N3;芸術;art (en général);げいじゅつ
N2;継続;continuation;けいぞく
N2;毛糸;laine à tricoter;けいと
N2;経度;longitude;けいど
N2;系統;lignée familiale, système, ascendance;けいとう
N2;芸能;art du spectacle, divertissement;げいのう
N2;競馬;course de chevaux;けいば
N2;警備;défense, sécurité, surveillance;けいび
N3;契約;contrat, accord, engagement;けいやく
N3;経由;via;けいゆ
N2;形容詞;adjectif;けいようし
N2;形容動詞;adjectif nominal, adjectif en -na;けいようどうし
N4;;gâteau;ケーキ
N3;;caisse, valise, cas;ケース
N3;;jeu;ゲーム
N2;外科;chirurgie;げか
N2;怪我;blessure;けが
N4;怪我する;se blesser;けがする
N2;毛皮;fourrure, peau;けがわ
N3;劇;pièce de théâtre;げき
N3;劇場;théâtre;げきじょう
N2;激増;montée soudaine, augmentation rapide;げきぞう
N5;今朝;ce matin;けさ
N4;景色;paysage;けしき
N2;消しゴム;gomme à effacer;けしゴム
N2;下車;descente (d'un véhicule);げしゃ
N2;下車する;descendre d'un véhicule;げしゃする
N4;下宿;pension, logement;げしゅく
N2;下旪;dernier tiers d'un mois;げじゅん
N3;化粧;maquillage;けしょう
N2;化粧する;se maquiller;けしょうする
N5;消す [五段];éteindre (un appareil, un feu), effacer, supprimer;けす
N2;下水;écoulement des eaux, drainage, égout, caniveau;げすい
N2;削る・梳る [五段];couper, tailler, aiguiser, réduire, rayer, supprimer;けずる
N2;桁;poutre, colonne, digit, ordre de grandeur;けた
N2;下駄;geta (sandale japonais en bois);げた
N3;;avare, radin, mesquin;けち
N2;血圧;pression sanguine;けつあつ
N2;血液;sang;けつえき
N3;結果;résultat, conséquence, issue;けっか
N3;欠陥;défaut, déficience, manque;けっかん
N2;月給;salaire mensuel;げっきゅう
N3;結局;finalement, en fin de compte;けっきょく
N5;結構;bien, merveilleux;けっこう
N5;結構です;c'est OK, raisonnable, ça me convient;けっこうです
N5;結婚;mariage;けっこん
N5;結婚する;se marier;けっこんする
N2;傑作;chef-d'œuvre;けっさく
N4;決して;absolument pas;けっして
N3;決心;détermination, résolution;けっしん
N2;決心する;être déterminé, être résolu;けっしんする
N3;欠席;absence;けっせき
N2;決断;décision, jugement;けつだん
N2;決断する;se décider à, prendre une décision, se déterminer à;けつだんする
N3;決定;décision;けってい
N3;欠点;défaut, imperfection, point faible;けってん
N2;月末;fin de mois;げつまつ
N3;月曜・月;lundi;げつよう・げつ
N5;月曜日;lundi;げつようび
N3;結論;conclusion (d'un document, d'un rapport…);けつろん
N2;気配;"signe, indication, tendance, cotation (boursière
entre autres)";けはい
N2;下品;grossier, indécent, vulgaire;げひん
N2;煙い;enfumé;けむい
N3;煙;fumée;けむり
N2;蹴る [五段];donner un coup de pied, frapper, refuser, rejeter;ける
N4;;mais;けれど
N4;;mais;けれども
N2;険しい;"accidenté, rude, escarpé, inaccessible, aiguisé (pour
le regard ou la parole)";けわしい
N3;券;ticket, coupon, certificat;けん
N3;軒;compteur pour les maisons ou les immeubles;けん
N3;県;préfécture;けん
N2;権;autorité de, le droit de faire;けん
N2;現;actuel, présent;げん
N4;原因;cause, origine, raison;げんいん
N4;喧嘩;dispute, querelle;けんか
N3;見解;opinion, point de vue;けんかい
N3;限界;limite, frontière, bordure;げんかい
N2;見学;sortie éducative, visite;けんがく
N4;喧嘩する;se disputer, se quereller;けんかする
N5;玄関;hall d'entrée, vestibule;げんかん
N5;元気;énergique, en bonne santé;げんき
N4;研究;étude, recherche;けんきゅう
N4;研究审;laboratoire, pièce de séminaire;けんきゅうしつ
N2;謙虚;humilité, modestie;けんきょ
N3;現金;espèce, argent liquide;げんきん
N2;現金;opportuniste (pour l'argent);げんきん
N3;言語;langage;げんご
N3;健康;santé;けんこう
N2;原稿;manuscrit;げんこう
N3;検査;inspection (des douanes, d'une usine…);けんさ
N3;現在;à notre époque, de nos jours, actuellement;げんざい
N2;原産;lieu d'origine, habitat;げんさん
N2;原始;primitif;げんし
N3;現实;réalité;げんじつ
N2;研修;formation, apprentissage;けんしゅう
N2;厳重;strict, rigoureux, sévère, ferme;げんじゅう
N3;現象;phénomène;げんしょう
N3;現状;état actuel, situation présente;げんじょう
N3;建設;construction, établissement;けんせつ
N2;謙遜;humilité, modestie;けんそん
N3;現代;de nos jours, de notre époque;げんだい
N3;建築;architecture, construction;けんちく
N2;県庁;bureau préfectoral;けんちょう
N2;限度;limite, frontière;げんど
N3;見当;estimation, approximation, supposition, direction;けんとう
N3;検討する;étudier, discuter de, examiner, considérer;けんとうする
N2;現に;en fait, en réalité;げんに
N3;現場;lieu actuel, scène du crime;げんば
N2;顕微鏡;microscope;けんびきょう
N4;見物;tourisme;けんぶつ
N4;見物する;visiter;けんぶつする
N3;憲法;Constitution;けんぽう
N2;懸命;impatient, sérieux, qui risque sa vie;けんめい
N3;権利;droit, privilège;けんり
N2;原理;principe, théorie, vérité fondamentale;げんり
N2;原料;matières premières;げんりょう
N4;子;enfant, petit (d'un animal);こ
N2;小;petit;こ
N2;個;compteur pour les articles, individuel;こ
N2;湖;lac de;こ
N5;五;cinq;ご
N3;後;après;ご
N3;語;langue, mot;ご
N5;御;préfixe honorifique;ご・お
N3;恋;amour, passion amoureuse;こい
N3;濃い;sombre (couleur), fort (goût, odeur), épais;こい
N2;恋しい;regretté, désiré, tant attendu;こいしい
N3;恋人;petit ami, petite amie, amoureux;こいびと
N4;斯う;de cette manière, comme cela;こう
N2;高;haut, grand;こう
N2;校;école de;こう
N2;港;port de;こう
N2;号;numéro, nombre;ごう
N2;行員;employé de banque;こういん
N2;強引;force, très autoritaire, agressif;ごういん
N2;強引に;de force, par la force;ごういんに
N3;幸運;chance, bonne fortune;こううん
N5;公園;parc public, jardin public;こうえん
N3;講演;conférence, discours;こうえん
N3;効果;efficacité, résultat, effet;こうか
N3;硬貨;pièce de monnaie;こうか
N3;高価;prix élevé;こうか
N3;豪華;splendide, magnifique, somptueux;ごうか
N4;郊外;banlieue;こうがい
N2;公害;pollution;こうがい
N3;吅格;réussite (d'un examen par exemple), succès;ごうかく
N3;交換;échange, substitution, remplacement;こうかん
N4;講義;cours magistral, conférence;こうぎ
N2;高級;de haut niveau, d'un rang élevé;こうきゅう
N2;公共;commun, public;こうきょう
N4;工業;industrie;こうぎょう
N3;航空;aviation;こうくう
N3;光景;vue, scène, spectacle;こうけい
N3;吅計;somme totale, montant total;ごうけい
N2;工芸;travaux manuels;こうげい
N3;攻撃;attaque, assaut, offensive;こうげき
N3;貢献;contribution, service;こうけん
N2;孝行;piété filiale;こうこう
N2;高校;lycée;こうこう
N4;高校生;lycéen;こうこうせい
N3;広告;publicité;こうこく
N2;交差;croisement, intersection;こうさ
N3;交際;"association, relation, amitié, compagnie,
connaissance";こうさい
N2;交差点;carrefour, croisement, intersection;こうさてん
N2;講師;"maître de conférence, professeur qui donne un
cours magistral";こうし
N2;工事;chantier, travaux (lié à de la construction);こうじ
N2;公式;formule scientifique, formalité, officiel;こうしき
N2;口实;excuse, prétexte;こうじつ
N2;斯うして;par conséquent, alors;こうして
N3;後者;ce dernier, cette dernière;こうしゃ
N2;校舎;bâtiment scolaire;こうしゃ
N2;公衆;le public, grand public;こうしゅう
N2;香水;parfum;こうすい
N3;構成;asssemblage, composition, organisation;こうせい
N2;公正;justice, équitabilité, impartialité;こうせい
N2;功績;réussite, performance, acte méritoire;こうせき
N2;光線;rayon lumineux, faisceau lumineux;こうせん
N2;高層;haut, élevé, supérieur;こうそう
N2;構造;structure, construction;こうぞう
N3;高速;grande vitesse, vitesse rapide, autoroute;こうそく
N2;交替;alternance, changement, remplacement;こうたい
N2;耕地;terre arable, terre cultivable;こうち
N5;紅茶;thé noir;こうちゃ
N4;校長;principal (école);こうちょう
N4;交通;trafic, transports;こうつう
N2;交通機関;moyens de transport;こうつうきかん
N2;校庭;campus;こうてい
N2;肯定;affirmation, positif;こうてい
N2;高度;altitude, hauteur;こうど
N2;高度;avancé, de haute qualité;こうど
N2;高等;de rang élevé;こうとう
N3;強盗;voleur, cambrioleur, vol, cambriolage;ごうとう
N4;講堂;auditorium;こうどう
N3;行動;action, comportement, conduite;こうどう
N2;吅同;combinaison, union, fusion, mélange;ごうどう
N4;高等学校;lycée;"こうとうがっこ
う"
N4;工場;usine, atelier;"こうば・こうじ
ょう"
N2;後輩;"cadet (à l'école, au travail…), nouveau (en parlant
d'une personne)";こうはい
N5;交番;petit poste de police;こうばん
N2;公表;annonce officielle, proclamation;こうひょう
N2;公表する;annoncer officiellement, proclamer;こうひょうする
N3;幸福;bonheur, prospérité;こうふく
N2;鉱物;minéral;こうぶつ
N3;公平;justice, équitabilité, impartialité;こうへい
N3;候補;candidat, concurrent, candidature;こうほ
N2;公務;affaire publique, affaire officielle;こうむ
N4;公務員;fonctionnaire;こうむいん
N2;項目;entrée (dans un dictionnaire par exemple), rubrique;こうもく
N2;吅理;rationel, sensé;ごうり
N2;交流;échange culturel, rapport, interaction;こうりゅう
N2;吅流する;rejoindre (en parlant d'un cours d'eau), rencontrer;ごうりゅうする
N2;効力;efficacité, effet;こうりょく
N3;考慮する;prendre en compte, considérer;こうりょする
N5;声;voix;こえ
N3;超える・越える [一段];traverser, franchir, passer de l'autre côté;こえる
N2;ご遠慮なく;n'hésitez pas;ごえんりょなく
N2;;cours, parcours;コース
N3;;coach, entraineur;コーチ
N5;;manteau, veste, court (de tennis, de basket…);コート
N3;;code, corde;コード
N5;;café;コーヒー
N2;;chœur de chanteurs, chorale;コーラス
N3;氷;glace;こおり
N3;凍る [五段];glacer, congeler, geler;こおる
N3;;but;ゴール
N3;誤解;malentendu, contresens;ごかい
N3;語学;étude des langues;ごがく
N2;焦がす [五段];brûler, carboniser;こがす
N3;呼吸;respiration, souffle;こきゅう
N3;故郷;lieu de naissance, village natal;こきょう
N2;極;extêmement, beaucoup;ごく
N2;漕ぐ [五段];ramer, pagayer, pédaler, nager;こぐ
N2;国王;roi;こくおう
N3;国語;langue japonaise, langue nationale du Japon;こくご
N4;国際;international;こくさい
N2;国籍;nationalité;こくせき
N2;国定;national, appuyé par l'Etat, soutenu par l'Etat;こくてい
N3;黒板;tableau noir;こくばん
N3;克服;charme, conquête, victoire;こくふく
N3;国民;nation, peuple, citoyen;こくみん
N3;穀物;graine, céréale;こくもつ
N2;国立;national;こくりつ
N2;ご苦労様;"je suis reconnaissant de vos efforts, merci pour vos
efforts";ごくろうさま
N2;焦げる [一段];brûler, carboniser;こげる
N5;此所;ici (proche du locuteur);ここ
N5;午後;après-midi;ごご
N2;凍える [一段];geler, être glacé;こごえる
N5;九日;neuvième jour du mois, 9 jours;ここのか
N5;九つ;neuf;ここのつ
N4;心;coeur, âme;こころ
N2;心当たり;"le fait d'avoir une idée ou des connaissances sur
quelque chose";こころあたり
N2;心当たりがある;cela me dit quelque chose, cela me parle;こころあたりが,ある
N2;心得る [一段];"avoir des connaissances approfondies sur, être bien
renseigné sur";こころえる
N2;御座る [五段];être, se trouver;ござる
N3;腰;hanche, région lombaire;こし
N2;腰掛;siège, banc;こしかけ
N2;腰掛ける [一段];s'asseoir;こしかける
N2;五十音;ensemble des syllabes japonaises;ごじゅうおん
N5;ご主人;mari (de quelqu'un) (polie);ごしゅじん
N4;故障;panne, dérèglement;こしょう
N2;胡椒;poivre;こしょう
N2;拵える [一段];faire, fabriquer;こしらえる
N3;個人;individuel, personnel, privé;こじん
N3;越す・超す [五段];traverser, surpasser, dépasser, excéder, déménager;こす
N2;擦る [五段];frotter, gratter;こする
N5;午前;matin;ごぜん
N2;加速;accélération;こそく
N4;ご存知;connaissance (personne);ごぞんじ
N2;ご存知ですか;saviez-vous que… ?;ごぞんじですか
N2;ご存知;connaissance (en parlant d'une personne);ごぞんじですか
N2;固体;corps solide, état solide;こたい
N4;忚え;réponse;こたえ
N2;答え;réponse;こたえ
N5;答える [一段];répondre;こたえる
N4;ご馳走;festin, banquet;ごちそう
N5;ご馳走様でした;merci pour ce repas (après avoir mangé);"ごちそうさまで
した"
N5;此方;ce côté-ci (proche du locuteur);こちら
N5;;de même;こちらこそ
N3;国家;état, pays, nation;こっか
N3;国会;parlement, assemblée, congrès;こっかい
N2;小遣い;argent de poche;こづかい
N3;国境;frontières d'un pays;こっきょう
N2;;cuisinier, robinet;コック
N3;骨折;fracture d'un os;こっせつ
N2;;secrètement, furtivement;こっそり
N4;此方;ce côté-ci (proche du locuteur);こっち
N3;小包;colis, paquet;こづつみ
N5;;verre (contenu);コップ
N2;古典;classique (la littérature par exemple), vieux livres;こてん
N4;事;chose (abstraite);こと
N2;琴;koto (harpe japonaise);こと
N2;毎;chaque;ごと
N2;共;la totalité, tout;ごと
N5;今年;cette année;ことし
N2;言付ける [一段];envoyer un message, envoyer un mot;ことづける
N3;異なる [五段];être différent de, varier, différer;ことなる
N5;言葉;mot, langage, phrase, parole;ことば
N2;言葉遣い;discours, expression, formulation;ことばづかい
N5;子供;enfant;こども
N4;小鳥;petit oiseau;ことり
N3;諺;proverbe;ことわざ
N3;断る [五段];refuser, rejeter, décliner, informer, dire au préalable;ことわる
N3;粉;farine;こな・こ
N5;此の;ce (proche du locuteur);この
N4;この間;récemment, l'autre jour;このあいだ
N4;此の頃;ces temps-ci;このごろ
N3;好み;goût, choix, préférence, penchant;このみ
N3;好む [五段];aimer, préférer;このむ
N5;ご飯;riz cuit, repas;ごはん
N3;;copie, photocopie;コピー
N2;ご無沙汰する;"ne pas écrire ou contacter quelqu'un depuis
quelques temps";ごぶさたする
N2;零す [五段];verser, déverser, répandre, ronchonner, se plaindre;こぼす
N2;零れる [一段];"répandre, déborder, s'échapper (des larmes, un
sourire)";こぼれる
N4;細かい;petit, détaillé;こまかい
N5;困る [五段];être gêné, être embarrassé;こまる
N4;芥;détritus, déchets, ordures;ごみ
N2;;communication;コミュニケーション
N4;込む・混む [五段];être rempli, être bondé;こむ
N2;;gomme;ゴム
N3;小麦;blé;こむぎ
N4;米;riz non préparé, riz cru;こめ
N2;御免;désolé, pardon;ごめん
N5;ご免下さい;"puis-je rentrer ? (dans la maison de quelqu'un
d'autre)";ごめんください
N5;ご免なさい;désolé, excusez moi;ごめんなさい
N3;小屋;cabane, hutte, abris, enclos (pour un animal);こや
N2;小指;auriculaire;こゆび
N2;堪える [一段];supporter, endurer, braver;こらえる
N2;娯楽;amusement, divertissement, distraction;ごらく
N2;御覧;vue, observation;ごらん
N4;ご覧に成る [五段];voir, regarder (hon);ごらんになる
N2;凝る [五段];être absorbé par, se passionner pour;こる
N5;惟;ceci (proche du locuteur);これ
N4;此れから;après cela;これから
N2;;collection;コレクション
N3;此れ等;ces;これら
N5;;vers (pour l'heure);ころ・ごろ
N2;転がす [五段];rouler, faire rouler;ころがす
N2;転がる [五段];rouler, tomber, chuter;ころがる
N3;殺す [五段];tuer;ころす
N3;転ぶ [五段];tomber, s'effondrer;ころぶ
N4;怖い・恐い;effrayant, inquiétant;こわい
N4;壊す [五段];détruire, casser, briser;こわす
N4;壊れる [一段];se casser, se briser;こわれる
N2;紺;bleu marine;こん
N2;今;l'actuel, ce;こん
N3;今回;cette fois-ci;こんかい
N2;;concours;コンクール
N2;;béton;コンクリート
N5;今月;ce mois-ci;こんげつ
N3;今後;à partir de maintenant;こんご
N2;混吅;mixture, mélange;こんごう
N4;;concert;コンサート
N3;混雑;confusion, encombrement;こんざつ
N5;今週;cette semaine;こんしゅう
N2;;prise de courant, consentement;コンセント
N2;献立;programme, menu;こんだて
N4;今度;cette fois, la prochaine fois;こんど
N5;;cette sorte de;こんな
N3;;de cette manière, de cette façon;こんなに
N3;困難;difficulté, désarroi;こんなん
N5;今日は;bonjour (l'après-midi);こんにちは
N5;今晩;ce soir;こんばん
N5;今晩は;bonsoir;こんばんは
N3;;ordinateur;コンピューター
N4;今夜;ce soir;こんや
N3;婚約;fiançailles;こんやく
N3;混乱;confusion, désordre;こんらん
N3;差;différence, variation, écart;さ
N2;;allez, viens ! Par ici !;さあ
N2;;cercle;サークル
N3;;service, support;サービス
N5;歳;ans (pour l'âge);さい
N3;際;à l'occasion de, lors de;さい
N2;再;encore, de nouveau, re-;さい
N2;在学する;être inscrit (dans une école, une université);ざいがくする
N4;最近;le plus récent, ces temps-ci, récemment;さいきん
N4;最後;le dernier;さいご
N3;最高;le maximum, le plus;さいこう
N2;再三;encore et encore, à répétition;さいさん
N3;財産;biens, fortune, richesse;ざいさん
N2;祭日;jour férié;さいじつ
N3;最終;dernier, final;さいしゅう
N4;最初;le premier;さいしょ
N2;催促;"demande pressante, requête, réclamation,
revendication";さいそく
N3;最中;au milieu de, en cours de, parmi;さいちゅう
N3;最低;le dernier, le pire, le plus bas, dégoûtant, répugnant;さいてい
N2;採点;indication, notation, vérification;さいてん
N2;災難;désastre, calamité;さいなん
N3;才能;talent, don;さいのう
N3;裁判;procès, jugement;さいばん
N4;財布;portefeuille;さいふ
N2;裁縫;couture;さいほう
N2;材木;bois de construction;ざいもく
N3;材料;ingrédients, données, matériel;ざいりょう
N2;;sirène;サイレン
N3;幸い;bonheur, félicité;さいわい
N3;;autographe, signature;サイン
N2;坂;montée, pente, côte;さか
N2;性;nature (de quelqu'un), coutume, tradition, habitude;さが
N3;境;frontière, limite;さかい
N2;逆さ;à l'envers, inversé, sens dessus dessous;さかさ
N2;逆様;à l'envers;さかさま
N4;探す・捜す [五段];chercher;さがす
N5;魚;poisson;さかな・うお
N2;酒場;bar, café;さかば
N3;逆らう [五段];aller à l'encontre de, s'opposer à, désobéir, résister;さからう
N3;盛り;sommet, apogée;さかり
N4;下がる [五段];se calmer (pluie, douleur...), se retirer;さがる
N4;盛ん;riche, prospère;さかん
N5;先;précédent, antérieur;さき
N2;一昨昨日;trois jours auparavant;さきおととい
N2;先程;tout à l'heure, il y a peu;さきほど
N3;作業;travail, opération, fabrication, corvée;さぎょう
N5;咲く [五段];fleurir, éclore;さく
N2;裂く [五段];déchirer, lacérer, découper;さく
N2;昨;dernière (année), hier (soir);さく
N2;索引;index, indice;さくいん
N2;作者;auteur;さくしゃ
N2;削除する;supprimer, effacer, enlever, éliminer;さくじょする
N2;作成する;élaborer, concevoir, créer, produire;さくせいする
N3;作品;ouvrage, œuvre, production;さくひん
N5;作文;composition, essai (écrit), rédaction;さくぶん
N3;作物;production, récolte;さくもつ
N3;桜;cerisier, fleur de cerisier;さくら
N2;探る [五段];chercher, enquêter, examiner;さぐる
N5;酒;alcool, sake;さけ
N3;叫ぶ [五段];s'écrier, crier;さけぶ
N4;下げる [五段];descendre, accorder (à quelqu'un);さげる
N3;避ける [一段];éviter, fuir;さける・よける
N3;支える [一段];soutenir, supporter;ささえる
N2;囁く [五段];chuchoter;ささやく
N2;刺さる [五段];être collé, coller;ささる
N4;差し上げる [一段];donner, offrir, élever;さしあげる
N2;座敶;pièce avec des tatamis, salon;ざしき
N2;差し支え;gêne, obstacle, empêchement;さしつかえ
N2;差し引く [五段];prélever, déduire, soustraire;さしひく
N2;刺身;sashimi (tranches de poisson cru);さしみ
N5;差す [五段];ouvrir (un parapluie);さす
N3;指す [五段];désigner, montrer, identifier;さす
N2;刺す [五段];percer, piquer, transpercer, coudre;さす
N2;注す [五段];verser (une boisson), servir (des boissons);さす
N2;射す [五段];briller, frapper;さす
N2;流石;comme on pouvait s'y attendre;さすが
N3;座席;siège, place assise;ざせき
N3;誘う [五段];inviter, tenter, attirer;さそう
N5;冊;compteur pour les livres;さつ
N3;札;billet de banque, feuille;さつ
N2;撮影する;photographier, prendre une photo;さつえいする
N2;雑音;bruits parasites;ざつおん
N3;作家;auteur, écrivain;さっか
N4;;il y a longtemps;さっき
N3;作曲する;composer (de la musique);さっきょくする
N2;;rapidement;さっさと
N5;雑誌;revue, magazine;ざっし
N2;早速;immédiatement, de suite, sans délai;さっそく
N3;;grossièrement, rapidement, approximativement;ざっと
N3;;se sentir à l'aise, se sentir libéré;さっぱりする
N3;偖;"et bien (pour faire la transition entre deux sujets
différents)";さて
N5;砂糖;sucre;さとう
N3;砂漠;désert;さばく
N2;錆;rouille;さび
N4;寂しい;seul, solitaire;さびしい
N2;錆びる [一段];rouiller;さびる
N2;座布団;coussin;ざぶとん
N3;差別;discrimination, différentiation, distinction;さべつ
N3;作法;manière (dans le comportement);さほう
N4;様;"suffixe pour les noms (Mr, Mme), apparence,
manière";さま
N3;様々;varié;さまざま
N3;覚ます [五段];se réveiller, se lever;さます
N2;冷ます [五段];refroidir, calmer, jeter un froid;さます
N2;妨げる [一段];déranger, gêner, troubler, empêcher;さまたげる
N5;寒い;froid (temps météo.);さむい
N3;覚める [一段];se réveiller;さめる
N2;冷める [一段];"refroidir, se refoidir, se calmer, baisser (fièvre,
colère)";さめる
N3;左右;gauche et droite, contrôle, influence;さゆう
N2;左右する;influencer, contrôler;さゆうする
N5;左様なら;au revoir, adieu;さようなら
N5;;au revoir;さよなら
